UCR Sample ID,SPECIES,CASE,State,ACC,HOST,HOST (COMMON NAME),HOST FAMILY,HOST ORDER,HOST ECOLOGY,TISSUE,Aspergillosis,Aspergillosis Event,Event,Date Collected,State,County,Notes,Nanodrop Conc (ng/ul),260/280,260/230,Date Extracted,Status
1,Aspergillus fumigatus,25297,HI,1,Branta sandvicensis,"Goose, Nene",Anatidae,Anseriformes,water bird,air sac plaque,UNKNOWN,UNKNOWN,1,2/2/2016,HI,Kauai,,484.5,1.94,1.77,7/24/2020,shipped on 8/10/2020
2,Aspergillus fumigatus,25404,HI,1,Puffinus newelli,"Shearwater, Newell's",Procellariidae,Procellariiformes,sea bird,heart,UNKNOWN,UNKNOWN,2,10/28/2016,HI,Kauai,,220.6,1.79,1.06,7/24/2020,shipped on 8/10/2020
3,Aspergillus fumigatus,26080,WA,3,Mareca americana,"Duck, American Wigeon",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,3,12/8/2014,WA,Whatcom,,212.9,1.84,1.32,7/24/2020,shipped on 8/10/2020
4,Aspergillus fumigatus,26080,WA,6,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,3,12/8/2014,WA,Whatcom,,na,na,na,7/23/2020,shipped on 8/10/2020
5,Aspergillus fumigatus,26080,WA,10,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,3,12/8/2014,WA,Whatcom,,1211.4,1.99,1.75,7/30/2020,shipped on 8/10/2020
6,Aspergillus fumigatus,26090,WA,1,Cygnus columbianus,"Swan, Whistling",Anatidae,Anseriformes,water bird,air sac,TRUE,TRUE,3,12/16/2014,WA,Whatcom,,180.8,1.67,1.06,7/24/2020,shipped on 8/10/2020
7,Aspergillus fumigatus,26090,WA,2,Cygnus buccinator,"Swan, Trumpeter",Anatidae,Anseriformes,water bird,liver,TRUE,TRUE,3,12/16/2014,WA,Whatcom,,300.1,1.72,1.06,7/22/2020,shipped on 8/10/2020
8,Aspergillus fumigatus,26090,WA,3,Anas acuta,"Duck, Northern Pintail",Anatidae,Anseriformes,water bird,liver,TRUE,TRUE,3,12/16/2014,WA,Whatcom,,167.7,1.68,1.24,7/24/2020,shipped on 8/10/2020
9,Aspergillus fumigatus,26090,WA,4,Mareca americana,"Duck, American Wigeon",Anatidae,Anseriformes,water bird,liver,TRUE,TRUE,3,12/16/2014,WA,Whatcom,,na,na,na,7/23/2020,shipped on 8/10/2020
10,Aspergillus fumigatus,26090,WA,5,Mareca americana,"Duck, American Wigeon",Anatidae,Anseriformes,water bird,liver,TRUE,TRUE,3,12/16/2014,WA,Whatcom,,314.3,1.87,1.49,7/24/2020,shipped on 8/10/2020
11,Aspergillus fumigatus,26090,WA,7,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,3,12/16/2014,WA,Whatcom,,na,na,na,7/23/2020,shipped on 8/10/2020
12,Aspergillus fumigatus,26090,WA,8,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,liver,TRUE,TRUE,3,12/16/2014,WA,Whatcom,,372.8,1.81,1.31,7/22/2020,shipped on 8/10/2020
13,Aspergillus fumigatus,26113,WA,1,Phalacrocorax auritus,"Cormorant, Double-crested",Phalacrocoracidae,Suliformes,"water bird, sea bird",lung,TRUE,UNKNOWN,4?,1/6/2015,WA,Whatcom,single bird found dead; may be considered same event as Dec 2014,323.4,1.69,1,7/22/2020,shipped on 8/10/2020
14,Aspergillus fumigatus,26201,WA,1,Cygnus buccinator,"Swan, Trumpeter",Anatidae,Anseriformes,water bird,air sac,TRUE,UNKNOWN,4,1/11/2015,WA,Clallam,"suspected lead poisoning by submitter, but neg for lead",329.3,1.91,1.68,7/30/2020,shipped on 8/10/2020
15,Aspergillus fumigatus,26218,MT,1,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,liver,TRUE,TRUE,5,2/6/2015,MT,Yellowstone,die-off at aviculturist facility; history of aspergillosis at this facility,387.1,1.89,1.71,7/24/2020,shipped on 8/10/2020
16,Aspergillus fumigatus,26218,MT,2,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,5,2/6/2015,MT,Yellowstone,die-off at aviculturist facility; history of aspergillosis at this facility,na,na,na,7/23/2020,shipped on 8/10/2020
17,Aspergillus fumigatus,26218,MT,3,Anas platyrhynchos,"Duck, Mallard",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,5,2/6/2015,MT,Yellowstone,die-off at aviculturist facility; history of aspergillosis at this facility,na,na,na,7/23/2020,shipped on 8/10/2020
18,Aspergillus fumigatus,26222,NV,1,Buteo jamaicensis,"Hawk, Red-tailed",Accipitridae,Accipitriformes,raptor,lung,TRUE,FALSE,6,2/3/2015,NV,Douglas,single animal mortality,na,na,na,7/23/2020,shipped on 8/10/2020
19,Aspergillus fumigatus,26501,MN,1,Larus smithsonianus,"Gull, American Herring",Laridae,Charadriiformes,water bird,air sac,TRUE,FALSE,7,5/26/2015,MN,Lake,single animal mortality,na,na,na,7/23/2020,shipped on 8/10/2020
20,Aspergillus fumigatus,26516,IL,1,Cygnus olor,"Swan, Mute",Anatidae,Anseriformes,water bird,liver,TRUE,FALSE,8,5/27/2015,IL,Lake,single animal mortality,na,na,na,7/23/2020,shipped on 8/10/2020
21,Aspergillus fumigatus,26528,WI,1,Haliaeetus leucocephalus,"Eagle, Bald",Accipitridae,Accipitriformes,raptor,air sac,TRUE,FALSE,9,5/20/2015,WI,Milwaukee,single animal mortality,na,na,na,7/23/2020,shipped on 8/10/2020
22,Aspergillus fumigatus,26555,WY,4,Larus delawarensis,"Gull, Ring-billed",Laridae,Charadriiformes,water bird,neck muscle,UNKNOWN,FALSE,10,12/20/2014,WI,Brown,"single animal mortality; no histo information, so may have had Aspergillosis; mislabeled case number - should be 26655.",na,na,na,7/23/2020,shipped on 8/10/2020
23,Aspergillus fumigatus,26624,OH,1,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,heart,TRUE,TRUE,11,7/5/2015,OH,Logan,Aspergillosis not considered severe enough to be cause of death. COD listed as parasitic worm infection,na,na,na,7/23/2020,shipped on 8/10/2020
24,Aspergillus fumigatus,26624,OH,4,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,heart,TRUE,TRUE,11,7/9/2015,OH,Logan,,na,na,na,7/23/2020,shipped on 8/10/2020
25,Aspergillus fumigatus,26696,WI,1,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,bronchi,TRUE,TRUE,12,8/6/2015,WI,Dodge,only two birds found dead,na,na,na,7/23/2020,shipped on 8/10/2020
26,Aspergillus fumigatus,26696,WI,2,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,bronchi,TRUE,TRUE,12,8/6/2015,WI,Dodge,only two birds found dead,na,na,na,7/23/2020,shipped on 8/10/2020
27,Aspergillus fumigatus,26707,ND,2,Leucophaeus pipixcan,"Gull, Franklin's",Laridae,Charadriiformes,water bird,air sac,TRUE,FALSE,13,8/11/2015,ND,Burleigh,mortality event of mixed causes,416.9,1.8,1.3,7/22/2020,shipped on 8/10/2020
28,Aspergillus fumigatus,26829,WI,1,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,lung/air sac,TRUE,TRUE,14,10/8/2015,WI,Dane,,na,na,na,7/23/2020,shipped on 8/10/2020
29,Aspergillus fumigatus,26829,WI,2,Branta canadensis,"Goose, Canada",Anatidae,Anseriformes,water bird,lung,TRUE,TRUE,14,10/8/2015,WI,Dane,,451.3,1.76,1.4,7/22/2020,shipped on 8/10/2020
